Word,Unmarked,Non Queer,Queer,MaxScore,MaxCategory
drawing,0.038,0.012,0.024,0.038,Unmarked
create,0.003,0.0,0.038,0.038,Queer
waitress,0.011,0.027,0.038,0.038,Queer
sheep,0.037,0.0,0.0,0.037,Unmarked
host,0.027,0.037,0.025,0.037,Non Queer
champion,0.008,0.037,0.001,0.037,Non Queer
bartender,0.007,0.037,0.036,0.037,Non Queer
journalist,0.037,0.022,0.024,0.037,Unmarked
relax,0.037,0.007,0.001,0.037,Unmarked
feminist,0.0,0.036,0.009,0.036,Non Queer
tomboy,0.0,0.036,0.027,0.036,Non Queer
socialize,0.001,0.036,0.003,0.036,Non Queer
beekeeper,0.0,0.036,0.02,0.036,Non Queer
jerk,0.035,0.024,0.006,0.035,Unmarked
driver,0.035,0.009,0.003,0.035,Unmarked
cis,0.0,0.035,0.0,0.035,Non Queer
eccentric,0.002,0.0,0.034,0.034,Queer
sing,0.034,0.012,0.014,0.034,Unmarked
florist,0.0,0.031,0.034,0.034,Queer
gardener,0.033,0.007,0.007,0.033,Unmarked
advocacy,0.0,0.033,0.0,0.033,Non Queer
activist,0.0,0.033,0.016,0.033,Non Queer
female,0.007,0.033,0.027,0.033,Non Queer
sexual,0.0,0.033,0.013,0.033,Non Queer
communication,0.02,0.033,0.024,0.033,Non Queer
librarian,0.001,0.013,0.032,0.032,Queer
unicorn,0.0,0.017,0.032,0.032,Queer
with,0.0,0.002,0.032,0.032,Queer
express,0.0,0.008,0.031,0.031,Queer
dancer,0.007,0.004,0.031,0.031,Queer
art,0.001,0.001,0.031,0.031,Queer
paint,0.007,0.003,0.031,0.031,Queer
voter,0.031,0.006,0.0,0.031,Unmarked
worker,0.031,0.027,0.018,0.031,Unmarked
superhero,0.001,0.01,0.031,0.031,Queer
conformist,0.0,0.03,0.0,0.03,Non Queer
theater,0.023,0.03,0.014,0.03,Non Queer
employee,0.03,0.019,0.007,0.03,Unmarked
draw,0.03,0.01,0.018,0.03,Unmarked
square,0.0,0.03,0.0,0.03,Non Queer
photographer,0.029,0.021,0.022,0.029,Unmarked
that,0.029,0.016,0.02,0.029,Unmarked
queer,0.0,0.017,0.029,0.029,Queer
vegetarian,0.004,0.028,0.003,0.028,Non Queer
nonconformist,0.0,0.0,0.028,0.028,Queer
conforming,0.0,0.028,0.0,0.028,Non Queer
carp,0.028,0.006,0.0,0.028,Unmarked
dress,0.001,0.024,0.028,0.028,Queer
outsider,0.014,0.028,0.014,0.028,Non Queer
painter,0.027,0.021,0.014,0.027,Unmarked
communicating,0.012,0.015,0.027,0.027,Queer
enigmatic,0.0,0.002,0.027,0.027,Queer
freelancer,0.027,0.003,0.003,0.027,Unmarked
student,0.027,0.004,0.007,0.027,Unmarked
criminal,0.008,0.027,0.004,0.027,Non Queer
god,0.011,0.027,0.011,0.027,Non Queer
citizen,0.027,0.012,0.018,0.027,Unmarked
ghost,0.026,0.001,0.004,0.026,Unmarked
intern,0.026,0.001,0.004,0.026,Unmarked
singing,0.026,0.006,0.008,0.026,Unmarked
trailblazer,0.0,0.0,0.026,0.026,Queer
curiosity,0.0,0.002,0.025,0.025,Queer
party,0.001,0.016,0.025,0.025,Queer
else,0.0,0.004,0.025,0.025,Queer
mystery,0.009,0.0,0.025,0.025,Queer
visitor,0.024,0.001,0.003,0.024,Unmarked
parent,0.001,0.024,0.024,0.024,Non Queer
fight,0.023,0.024,0.018,0.024,Non Queer
liability,0.024,0.003,0.014,0.024,Unmarked
multitasking,0.024,0.0,0.023,0.024,Unmarked
minority,0.0,0.021,0.023,0.023,Queer
conform,0.0,0.023,0.0,0.023,Non Queer
clerk,0.023,0.007,0.01,0.023,Unmarked
solve,0.023,0.0,0.0,0.023,Unmarked
president,0.023,0.0,0.0,0.023,Unmarked
christian,0.003,0.023,0.0,0.023,Non Queer
contributor,0.023,0.0,0.0,0.023,Unmarked
local,0.023,0.0,0.004,0.023,Unmarked
operate,0.023,0.0,0.0,0.023,Unmarked
valuable,0.023,0.002,0.0,0.023,Unmarked
bully,0.023,0.012,0.006,0.023,Unmarked
neutral,0.0,0.002,0.022,0.022,Queer
mediator,0.014,0.022,0.022,0.022,Non Queer
help,0.022,0.015,0.004,0.022,Unmarked
live,0.018,0.013,0.022,0.022,Queer
think,0.022,0.009,0.007,0.022,Unmarked
learn,0.022,0.001,0.001,0.022,Unmarked
member,0.022,0.006,0.01,0.022,Unmarked
server,0.022,0.007,0.008,0.022,Unmarked
superstar,0.016,0.003,0.022,0.022,Queer
poet,0.004,0.018,0.022,0.022,Queer
engineer,0.016,0.022,0.015,0.022,Non Queer
negotiating,0.021,0.004,0.0,0.021,Unmarked
bake,0.01,0.019,0.021,0.021,Queer
recluse,0.005,0.016,0.021,0.021,Queer
hike,0.001,0.01,0.021,0.021,Queer
loner,0.0,0.0,0.021,0.021,Queer
singer,0.01,0.003,0.021,0.021,Queer
delegate,0.021,0.0,0.0,0.021,Unmarked
write,0.01,0.015,0.021,0.021,Queer
blending,0.0,0.02,0.0,0.02,Non Queer
colleague,0.001,0.016,0.02,0.02,Queer
problem,0.0,0.01,0.02,0.02,Queer
liar,0.02,0.001,0.003,0.02,Unmarked
normative,0.0,0.02,0.0,0.02,Non Queer
entertain,0.019,0.0,0.002,0.019,Unmarked
platonic,0.0,0.019,0.009,0.019,Non Queer
communicate,0.011,0.019,0.017,0.019,Non Queer
respected,0.0,0.019,0.002,0.019,Non Queer
servant,0.019,0.006,0.003,0.019,Unmarked
mechanic,0.019,0.009,0.003,0.019,Unmarked
they,0.0,0.0,0.019,0.019,Queer
troublemaker,0.019,0.004,0.004,0.019,Unmarked
excel,0.019,0.0,0.004,0.019,Unmarked
introvert,0.0,0.019,0.016,0.019,Non Queer
novelty,0.0,0.019,0.011,0.019,Non Queer
veterinarian,0.018,0.003,0.004,0.018,Unmarked
kill,0.018,0.006,0.003,0.018,Unmarked
cuddle,0.0,0.006,0.018,0.018,Queer
demisexual,0.0,0.018,0.0,0.018,Non Queer
travel,0.018,0.018,0.017,0.018,Unmarked
drink,0.004,0.016,0.018,0.018,Queer
adapt,0.018,0.007,0.01,0.018,Unmarked
mentor,0.001,0.018,0.003,0.018,Non Queer
knitting,0.0,0.004,0.018,0.018,Queer
mathematics,0.018,0.006,0.003,0.018,Unmarked
sewing,0.0,0.004,0.018,0.018,Queer
desirable,0.0,0.018,0.0,0.018,Non Queer
speaker,0.018,0.004,0.001,0.018,Unmarked
straight,0.0,0.018,0.0,0.018,Non Queer
role,0.008,0.018,0.004,0.018,Non Queer
queen,0.0,0.008,0.018,0.018,Queer
self,0.0,0.0,0.017,0.017,Queer
voting,0.017,0.002,0.0,0.017,Unmarked
actress,0.0,0.017,0.004,0.017,Non Queer
supportive,0.0,0.017,0.004,0.017,Non Queer
accountant,0.004,0.016,0.017,0.017,Queer
biologist,0.0,0.002,0.016,0.016,Queer
replacement,0.001,0.016,0.015,0.016,Non Queer
improvise,0.016,0.0,0.0,0.016,Unmarked
pillar,0.016,0.008,0.0,0.016,Unmarked
stylist,0.0,0.004,0.016,0.016,Queer
idiot,0.016,0.0,0.0,0.016,Unmarked
participate,0.016,0.0,0.0,0.016,Unmarked
fisherman,0.016,0.001,0.001,0.016,Unmarked
fixture,0.016,0.0,0.0,0.016,Unmarked
builder,0.016,0.0,0.0,0.016,Unmarked
stakeholder,0.016,0.0,0.0,0.016,Unmarked
shadow,0.016,0.0,0.009,0.016,Unmarked
fish,0.011,0.015,0.006,0.015,Non Queer
how,0.0,0.015,0.0,0.015,Non Queer
spouse,0.0,0.015,0.0,0.015,Non Queer
girl,0.007,0.015,0.008,0.015,Non Queer
participant,0.015,0.003,0.004,0.015,Unmarked
barista,0.003,0.004,0.015,0.015,Queer
unique,0.004,0.001,0.015,0.015,Queer
normal,0.0,0.015,0.0,0.015,Non Queer
neighbor,0.01,0.015,0.003,0.015,Non Queer
influential,0.0,0.015,0.0,0.015,Non Queer
cop,0.008,0.015,0.014,0.015,Non Queer
bore,0.0,0.015,0.0,0.015,Non Queer
identity,0.0,0.015,0.007,0.015,Non Queer
group,0.01,0.015,0.001,0.015,Non Queer
collect,0.0,0.015,0.0,0.015,Non Queer
mirror,0.0,0.015,0.005,0.015,Non Queer
drive,0.012,0.015,0.001,0.015,Non Queer
virgin,0.0,0.015,0.004,0.015,Non Queer
living,0.002,0.015,0.0,0.015,Non Queer
muslim,0.0,0.015,0.002,0.015,Non Queer
cat,0.014,0.006,0.015,0.015,Queer
negotiation,0.005,0.001,0.014,0.014,Queer
ther,0.0,0.004,0.014,0.014,Queer
victim,0.014,0.007,0.01,0.014,Unmarked
gossip,0.014,0.0,0.0,0.014,Unmarked
predator,0.001,0.013,0.014,0.014,Queer
solving,0.014,0.0,0.0,0.014,Unmarked
empathy,0.0,0.01,0.014,0.014,Queer
mingle,0.0,0.004,0.014,0.014,Queer
spirit,0.0,0.0,0.014,0.014,Queer
innovate,0.014,0.0,0.002,0.014,Unmarked
slave,0.014,0.009,0.008,0.014,Unmarked
asset,0.014,0.0,0.002,0.014,Unmarked
enigma,0.0,0.0,0.014,0.014,Queer
welcome,0.002,0.0,0.013,0.013,Queer
friendly,0.0,0.013,0.0,0.013,Non Queer
observe,0.005,0.013,0.0,0.013,Non Queer
maverick,0.002,0.0,0.013,0.013,Queer
whole,0.008,0.013,0.008,0.013,Non Queer
bisexual,0.0,0.011,0.013,0.013,Queer
visionary,0.004,0.001,0.013,0.013,Queer
relationships,0.0,0.013,0.005,0.013,Non Queer
writing,0.008,0.013,0.007,0.013,Non Queer
attract,0.0,0.013,0.0,0.013,Non Queer
companion,0.001,0.006,0.013,0.013,Queer
baker,0.005,0.004,0.013,0.013,Queer
marry,0.0,0.013,0.0,0.013,Non Queer
sex,0.0,0.008,0.013,0.013,Queer
transgender,0.0,0.013,0.007,0.013,Non Queer
connecting,0.0,0.01,0.013,0.013,Queer
very,0.0,0.013,0.0,0.013,Non Queer
monster,0.01,0.012,0.008,0.012,Non Queer
lying,0.001,0.012,0.001,0.012,Non Queer
diva,0.0,0.0,0.012,0.012,Queer
resident,0.012,0.004,0.0,0.012,Unmarked
adapting,0.0,0.0,0.012,0.012,Queer
negotiate,0.012,0.0,0.009,0.012,Unmarked
exercise,0.0,0.0,0.012,0.012,Queer
spy,0.012,0.004,0.0,0.012,Unmarked
pest,0.012,0.0,0.002,0.012,Unmarked
flattery,0.0,0.0,0.012,0.012,Queer
assistant,0.012,0.003,0.006,0.012,Unmarked
meditate,0.0,0.0,0.012,0.012,Queer
synonym,0.0,0.0,0.012,0.012,Queer
misfit,0.0,0.0,0.012,0.012,Queer
grump,0.011,0.0,0.0,0.011,Unmarked
hybrid,0.0,0.006,0.011,0.011,Queer
sweetheart,0.0,0.002,0.011,0.011,Queer
knit,0.0,0.011,0.009,0.011,Non Queer
understanding,0.0,0.01,0.011,0.011,Queer
celebrate,0.001,0.001,0.011,0.011,Queer
study,0.011,0.009,0.004,0.011,Unmarked
succeed,0.011,0.001,0.006,0.011,Unmarked
reading,0.011,0.003,0.008,0.011,Unmarked
walk,0.005,0.0,0.011,0.011,Queer
quiet,0.007,0.0,0.011,0.011,Queer
smoke,0.0,0.011,0.009,0.011,Non Queer
boss,0.011,0.001,0.004,0.011,Unmarked
millionaire,0.011,0.007,0.001,0.011,Unmarked
author,0.0,0.011,0.005,0.011,Non Queer
dreamer,0.0,0.002,0.011,0.011,Queer
rival,0.011,0.0,0.0,0.011,Unmarked
villain,0.011,0.0,0.0,0.011,Unmarked
secretary,0.004,0.003,0.011,0.011,Queer
programmer,0.005,0.007,0.011,0.011,Queer
conversations,0.002,0.011,0.0,0.011,Non Queer
surgeon,0.008,0.004,0.011,0.011,Queer
relate,0.0,0.011,0.005,0.011,Non Queer
leave,0.011,0.0,0.0,0.011,Unmarked
terrorist,0.011,0.001,0.006,0.011,Unmarked
teamplayer,0.011,0.0,0.0,0.011,Unmarked
respond,0.01,0.01,0.004,0.01,Unmarked
pair,0.0,0.01,0.007,0.01,Non Queer
caretaker,0.01,0.006,0.003,0.01,Unmarked
trainee,0.01,0.002,0.0,0.01,Unmarked
supervisor,0.01,0.009,0.01,0.01,Unmarked
speaking,0.01,0.002,0.0,0.01,Unmarked
traditionalist,0.0,0.01,0.0,0.01,Non Queer
thrive,0.001,0.003,0.01,0.01,Queer
butler,0.004,0.01,0.008,0.01,Non Queer
saint,0.002,0.01,0.0,0.01,Non Queer
playing,0.003,0.01,0.006,0.01,Non Queer
maid,0.01,0.006,0.007,0.01,Unmarked
detective,0.005,0.006,0.01,0.01,Queer
hermit,0.004,0.009,0.01,0.01,Queer
guard,0.01,0.006,0.0,0.01,Unmarked
resource,0.01,0.006,0.0,0.01,Unmarked
wizard,0.004,0.01,0.004,0.01,Non Queer
reliable,0.0,0.01,0.0,0.01,Non Queer
patriot,0.01,0.004,0.003,0.01,Unmarked
empathizing,0.0,0.01,0.004,0.01,Non Queer
republican,0.0,0.01,0.0,0.01,Non Queer
tease,0.0,0.01,0.002,0.01,Non Queer
bird,0.01,0.002,0.0,0.01,Unmarked
accept,0.0,0.01,0.0,0.01,Non Queer
supporting,0.0,0.01,0.0,0.01,Non Queer
profession,0.007,0.001,0.01,0.01,Queer
hypocrite,0.0,0.01,0.0,0.01,Non Queer
character,0.01,0.001,0.001,0.01,Unmarked
researcher,0.005,0.01,0.006,0.01,Non Queer
shop,0.0,0.01,0.0,0.01,Non Queer
dating,0.0,0.01,0.0,0.01,Non Queer
photography,0.01,0.001,0.007,0.01,Unmarked
enjoy,0.009,0.0,0.005,0.009,Unmarked
gender,0.0,0.002,0.009,0.009,Queer
improvisation,0.009,0.0,0.0,0.009,Unmarked
everything,0.008,0.009,0.004,0.009,Non Queer
novice,0.009,0.0,0.0,0.009,Unmarked
dream,0.0,0.0,0.009,0.009,Queer
specialist,0.003,0.009,0.004,0.009,Non Queer
key,0.009,0.0,0.0,0.009,Unmarked
nun,0.0,0.004,0.009,0.009,Queer
myth,0.0,0.002,0.009,0.009,Queer
fluid,0.0,0.0,0.009,0.009,Queer
survive,0.009,0.0,0.007,0.009,Unmarked
experiment,0.0,0.0,0.009,0.009,Queer
kn,0.0,0.0,0.009,0.009,Queer
focus,0.0,0.0,0.009,0.009,Queer
target,0.009,0.0,0.002,0.009,Unmarked
efficient,0.009,0.0,0.0,0.009,Unmarked
excellence,0.009,0.0,0.0,0.009,Unmarked
freak,0.0,0.006,0.009,0.009,Queer
themselves,0.0,0.004,0.009,0.009,Queer
mask,0.009,0.002,0.0,0.009,Unmarked
unusual,0.0,0.004,0.009,0.009,Queer
peer,0.003,0.0,0.009,0.009,Queer
wander,0.009,0.004,0.0,0.009,Unmarked
debate,0.009,0.002,0.0,0.009,Unmarked
po,0.0,0.0,0.009,0.009,Queer
compromise,0.0,0.0,0.009,0.009,Queer
boy,0.007,0.009,0.008,0.009,Non Queer
treasure,0.009,0.0,0.0,0.009,Unmarked
pirate,0.002,0.0,0.009,0.009,Queer
blend,0.001,0.009,0.004,0.009,Non Queer
charismatic,0.009,0.002,0.0,0.009,Unmarked
vocation,0.009,0.0,0.002,0.009,Unmarked
wear,0.0,0.0,0.009,0.009,Queer
winner,0.009,0.0,0.0,0.009,Unmarked
gay,0.0,0.008,0.007,0.008,Non Queer
liaison,0.0,0.008,0.007,0.008,Non Queer
vegan,0.0,0.008,0.0,0.008,Non Queer
theorist,0.0,0.008,0.0,0.008,Non Queer
collaborator,0.008,0.001,0.001,0.008,Unmarked
ambassador,0.0,0.008,0.0,0.008,Non Queer
danger,0.005,0.001,0.008,0.008,Queer
odd,0.0,0.008,0.0,0.008,Non Queer
fuck,0.0,0.008,0.005,0.008,Non Queer
maths,0.008,0.006,0.001,0.008,Unmarked
symbol,0.0,0.008,0.002,0.008,Non Queer
analyst,0.003,0.008,0.0,0.008,Non Queer
sexologist,0.0,0.008,0.0,0.008,Non Queer
perform,0.008,0.003,0.003,0.008,Unmarked
laugh,0.008,0.007,0.004,0.008,Unmarked
landscaper,0.005,0.008,0.0,0.008,Non Queer
psychologist,0.0,0.008,0.002,0.008,Non Queer
following,0.0,0.008,0.0,0.008,Non Queer
menace,0.005,0.003,0.008,0.008,Queer
conservative,0.0,0.008,0.0,0.008,Non Queer
fix,0.008,0.004,0.001,0.008,Unmarked
honesty,0.0,0.008,0.0,0.008,Non Queer
theous,0.0,0.008,0.0,0.008,Non Queer
rolemodel,0.0,0.008,0.0,0.008,Non Queer
advocating,0.0,0.008,0.0,0.008,Non Queer
parasite,0.0,0.008,0.002,0.008,Non Queer
honest,0.0,0.008,0.0,0.008,Non Queer
representative,0.008,0.001,0.003,0.008,Unmarked
present,0.0,0.008,0.0,0.008,Non Queer
businessman,0.002,0.008,0.0,0.008,Non Queer
sister,0.0,0.008,0.005,0.008,Non Queer
manage,0.008,0.001,0.003,0.008,Unmarked
traitor,0.008,0.006,0.003,0.008,Unmarked
desire,0.0,0.008,0.0,0.008,Non Queer
position,0.008,0.004,0.007,0.008,Unmarked
caterer,0.0,0.008,0.0,0.008,Non Queer
grandmother,0.0,0.008,0.0,0.008,Non Queer
problematic,0.0,0.008,0.0,0.008,Non Queer
diplomat,0.003,0.006,0.008,0.008,Queer
politician,0.008,0.007,0.004,0.008,Unmarked
socializing,0.0,0.008,0.002,0.008,Non Queer
defender,0.0,0.008,0.0,0.008,Non Queer
logic,0.0,0.008,0.0,0.008,Non Queer
default,0.0,0.008,0.0,0.008,Non Queer
married,0.0,0.008,0.0,0.008,Non Queer
volunteering,0.007,0.0,0.0,0.007,Unmarked
ceo,0.007,0.001,0.001,0.007,Unmarked
football,0.003,0.006,0.007,0.007,Queer
surf,0.0,0.004,0.007,0.007,Queer
hairstylist,0.0,0.0,0.007,0.007,Queer
phase,0.0,0.0,0.007,0.007,Queer
consumer,0.007,0.0,0.0,0.007,Unmarked
vampire,0.0,0.006,0.007,0.007,Queer
flourish,0.0,0.0,0.007,0.007,Queer
helping,0.0,0.0,0.007,0.007,Queer
teach,0.007,0.0,0.0,0.007,Unmarked
puzzles,0.007,0.0,0.002,0.007,Unmarked
priest,0.001,0.007,0.006,0.007,Non Queer
network,0.0,0.0,0.007,0.007,Queer
scholar,0.007,0.006,0.0,0.007,Unmarked
collaboration,0.002,0.0,0.007,0.007,Queer
gogetter,0.007,0.0,0.0,0.007,Unmarked
bridge,0.001,0.004,0.007,0.007,Queer
good,0.0,0.0,0.007,0.007,Queer
player,0.007,0.001,0.001,0.007,Unmarked
gentle,0.0,0.0,0.007,0.007,Queer
mermaid,0.0,0.002,0.007,0.007,Queer
collaborate,0.007,0.0,0.002,0.007,Unmarked
genderqueer,0.0,0.006,0.007,0.007,Queer
sibling,0.007,0.007,0.006,0.007,Unmarked
nonsexual,0.0,0.0,0.007,0.007,Queer
gem,0.0,0.0,0.007,0.007,Queer
substitute,0.004,0.007,0.006,0.007,Non Queer
bodyguard,0.003,0.006,0.007,0.007,Queer
visit,0.007,0.002,0.0,0.007,Unmarked
move,0.0,0.0,0.007,0.007,Queer
talented,0.007,0.0,0.0,0.007,Unmarked
statue,0.0,0.0,0.007,0.007,Queer
success,0.007,0.0,0.0,0.007,Unmarked
programming,0.0,0.0,0.007,0.007,Queer
job,0.007,0.0,0.004,0.007,Unmarked
cope,0.0,0.0,0.007,0.007,Queer
reporter,0.007,0.004,0.0,0.007,Unmarked
share,0.007,0.006,0.001,0.007,Unmarked
appreciate,0.0,0.0,0.007,0.007,Queer
machine,0.007,0.0,0.0,0.007,Unmarked
landlord,0.007,0.002,0.0,0.007,Unmarked
dine,0.007,0.0,0.005,0.007,Unmarked
spectator,0.007,0.0,0.0,0.007,Unmarked
diligent,0.007,0.0,0.0,0.007,Unmarked
know,0.007,0.002,0.0,0.007,Unmarked
observing,0.003,0.007,0.003,0.007,Non Queer
watch,0.007,0.003,0.003,0.007,Unmarked
loving,0.0,0.0,0.007,0.007,Queer
sew,0.001,0.006,0.007,0.007,Queer
weirdo,0.007,0.0,0.004,0.007,Unmarked
relating,0.0,0.002,0.007,0.007,Queer
coordinator,0.0,0.0,0.007,0.007,Queer
delight,0.003,0.0,0.007,0.007,Queer
witness,0.007,0.001,0.004,0.007,Unmarked
therap,0.0,0.0,0.007,0.007,Queer
pay,0.007,0.0,0.0,0.007,Unmarked
merchant,0.007,0.001,0.001,0.007,Unmarked
curator,0.0,0.0,0.007,0.007,Queer
gamble,0.001,0.003,0.006,0.006,Queer
both,0.0,0.006,0.002,0.006,Non Queer
passionate,0.0,0.006,0.002,0.006,Non Queer
identify,0.0,0.006,0.002,0.006,Non Queer
dedicated,0.0,0.006,0.002,0.006,Non Queer
ambition,0.004,0.001,0.006,0.006,Queer
scientist,0.005,0.006,0.001,0.006,Non Queer
multifaceted,0.0,0.006,0.002,0.006,Non Queer
occupation,0.005,0.001,0.006,0.006,Queer
monk,0.0,0.006,0.002,0.006,Non Queer
contradiction,0.0,0.006,0.004,0.006,Non Queer
lead,0.001,0.006,0.003,0.006,Non Queer
soccer,0.003,0.004,0.006,0.006,Queer
seeker,0.0,0.006,0.002,0.006,Non Queer
accepting,0.0,0.006,0.004,0.006,Non Queer
quirky,0.003,0.006,0.001,0.006,Non Queer
facilitator,0.0,0.006,0.004,0.006,Non Queer
cashier,0.003,0.006,0.001,0.006,Non Queer
magician,0.002,0.006,0.0,0.006,Non Queer
baking,0.001,0.006,0.006,0.006,Non Queer
carpentry,0.001,0.006,0.001,0.006,Non Queer
racist,0.001,0.004,0.006,0.006,Queer
nanny,0.003,0.004,0.006,0.006,Queer
career,0.003,0.003,0.006,0.006,Queer
sleep,0.0,0.006,0.004,0.006,Non Queer
acting,0.001,0.001,0.006,0.006,Queer
complex,0.0,0.006,0.002,0.006,Non Queer
couple,0.0,0.006,0.004,0.006,Non Queer
filmmaker,0.0,0.006,0.002,0.006,Non Queer
accepted,0.0,0.0,0.005,0.005,Queer
herself,0.0,0.0,0.005,0.005,Queer
