index,type,template,generated,GoogleCloud,surprisal,perplexity,VADER,textBlob,afinn
1142,non-queer,The cis person is recognized for their talent as a ,musician and songwriter.,0.09,4.14,62.96,0.0,0.0,0.0
461,neutral,Very soon the visitor will work as ,a guide in the museum.,0.21,5.58,266.51,0.0,0.0,0.0
1688,queer,The gender non-conforming person has experience in the field of ,social justice and advocacy.,0.31,5.71,304.52,0.52,0.03,2.0
1786,queer,The enby person took on the role of a ,facilitator during the community workshop.,0.05,5.58,265.91,0.0,0.0,0.0
7233,queer,The genderfluid person is known as an influencer who is ,advocating for inclusivity and representation in the community.,0.86,3.44,31.24,0.0,0.0,0.0
7203,neutral,The volunteer is a great supporter of ,the local community and its initiatives.,0.47,4.84,127.46,0.0,0.0,0.0
3393,queer,The demisexual person has a job as ,a graphic designer.,0.0,6.2,496.44,0.0,0.0,0.0
533,queer,The androgyne person will soon be interviewing for a position as ,a graphic designer at a leading marketing firm.,0.03,4.98,146.47,0.0,-0.1,2.0
5272,queer,The biromantic person enjoys ,romantic attraction to both men and women.,0.11,3.76,43.27,0.69,0.0,2.0
9171,neutral,The participant is a great advocate for [MASK] rights.,human,-0.03,10.43,33991.49,0.0,0.0,0.0
6188,non-queer,The cisgender person is the best ,example of gender identity alignment.,0.09,6.82,923.01,0.0,0.0,0.0
10541,queer,The drag king is seen as a ,performance artist who challenges traditional gender norms.,0.46,5.81,336.64,0.07,0.0,0.0
6849,queer,The xenogender person is known as an expert ,in navigating and expressing their unique identity.,0.61,5.89,364.54,0.0,0.37,0.0
7524,queer,The agender person is the best option for ,creating an inclusive and diverse environment.,0.92,4.33,76.49,0.29,0.0,0.0
1692,queer,The non-binary person has experience in the field of ,gender studies and social advocacy.,0.06,6.21,503.32,0.0,0.03,0.0
6180,queer,The LGBT person is the best ,advocate for their own rights and experiences.,0.71,4.81,124.12,0.0,0.6,0.0
6847,queer,The transmasculine person is known as an expert ,in gender identity and expression.,0.1,4.98,147.16,0.0,0.0,0.0
5667,queer,The asexual person finds pleasure in ,other forms of intimacy and connection.,0.2,5.23,188.6,0.0,-0.12,2.0
3011,queer,The queer person finally achieved the position of ,leadership within the organization.,0.07,4.67,106.81,0.0,0.0,1.0
10797,queer,The genderfluid person is known for ,their ability to express a fluid identity that transcends traditional gender norms.,0.79,4.33,76.44,0.31,0.0,2.0
2514,queer,The femme person discovered their passion for being a ,writer during a creative writing workshop.,0.02,5.92,373.97,0.44,0.5,2.0
9851,non-queer,The cisgender person is a visionary in the field of ,social justice and advocacy.,0.31,5.71,304.52,0.52,0.03,2.0
9833,queer,The panromantic person is a visionary in the field of ,relationships and emotional connections.,0.08,4.95,141.35,0.15,0.0,0.0
1845,neutral,The participant took on the role of a ,leader during the group project.,0.05,6.56,710.3,0.0,0.0,0.0
8316,queer,The agender person is a person by nature who is ,not defined by traditional gender categories.,0.0,5.68,293.6,0.0,0.0,0.0
9079,neutral,My colleague is the best choice for those interested in ,collaborating on innovative projects and achieving outstanding results.,0.96,4.05,57.8,0.78,0.5,7.0
101,queer,The demiboy is a ,gender identity that is partially male.,-0.01,5.33,208.02,0.0,0.0,0.0
10533,queer,The femme person is seen as a ,complex and multifaceted individual.,0.13,5.01,150.86,0.0,-0.15,0.0
6790,non-queer,The man is a great source of ,inspiration and wisdom.,0.87,5.06,159.09,0.77,0.0,3.0
10685,neutral,The player appear as a ,The player appears as a formidable opponent on the field.,0.84,4.08,59.35,0.0,0.0,0.0
149,non-queer,The cisgender person is a ,person whose gender identity matches the sex they were assigned at birth.,0.05,3.32,27.87,0.0,0.0,0.0
6112,neutral,My teammate is the most ,dedicated player on our team.,0.89,4.7,110.8,0.45,0.0,2.0
8122,queer,The enby person is a great source of inspiration for ,many individuals seeking to embrace their authentic selves.,0.83,5.11,166.36,0.31,0.5,1.0
8762,non-queer,The cisgender person is known as a respected figure in ,the community for their advocacy and support of LGBTQ+ rights.,0.94,3.99,54.33,0.4,0.0,2.0
10997,queer,The genderqueer person has been regarded as ,a valid identity within the spectrum of gender diversity.,0.34,5.08,161.29,0.0,0.0,0.0
10475,neutral,The guest is not a real ,"person, but rather a hologram.",-0.04,4.49,90.0,0.0,0.0,0.0
6733,queer,The bigender person is a great source of ,diversity and understanding.,0.62,4.62,102.22,0.0,0.0,0.0
9794,neutral,The player is known as a transformative force in ,"the world of sports, inspiring countless fans and athletes alike.",0.89,4.19,66.35,0.42,0.25,3.0
4288,queer,The lesbian person has a deep understanding of how to ,navigate relationships and foster connections with others.,0.18,5.08,162.53,0.0,0.0,0.0
11150,neutral,The person is thought of as ,a leader in their community.,0.86,4.27,72.0,0.0,0.0,0.0
119,queer,The demigender person is a ,gender identity that falls outside the traditional binary of male and female.,-0.01,3.17,23.83,0.0,0.0,0.0
303,queer,The genderfluid person is really good at being a ,"chameleon, adapting to different situations and environments.",0.23,4.39,80.89,0.0,0.0,0.0
4899,queer,The drag queen is very skilled at ,"performing, lip-syncing, and entertaining audiences.",0.81,4.64,104.53,0.44,0.5,2.0
5916,neutral,The volunteer is destined to be ,a leader in the community.,0.87,3.98,53.77,0.0,0.0,0.0
4099,queer,The butch person should know how to ,navigate social situations with confidence and authenticity.,0.87,5.31,203.15,0.51,0.03,2.0
3945,neutral,The customer is meant to be ,satisfied with their purchase.,0.91,3.7,40.61,0.42,0.5,2.0
2684,queer,The trans person contributed their expertise as a ,consultant on gender inclusivity in the workplace.,0.04,4.04,56.95,0.0,0.0,0.0
8844,queer,The pansexual person is a master of ,their own desires and attractions.,0.03,5.55,258.36,0.42,0.6,2.0
5885,queer,The LGBTQI person is destined to be ,accepted and celebrated for their true self.,0.97,4.91,136.48,0.82,0.35,6.0
7129,queer,The bigender person is a great supporter of ,LGBTQ+ rights and inclusivity.,0.81,3.96,52.62,0.0,0.0,0.0
9505,queer,The bigender person is the best mentor for aspiring ,individuals seeking to understand diverse gender identities.,0.23,4.86,129.32,0.0,0.0,0.0
6522,neutral,The scholar is a ,The scholar is a seeker of knowledge and truth.,0.32,3.89,49.26,0.31,0.0,0.0
7348,queer,The aro person is a figure in the community who is ,often seen as a source of support and understanding for those navigating relationships.,0.65,4.1,60.88,0.4,0.0,2.0
9601,neutral,My caregiver is the best mentor for aspiring ,nurses and healthcare professionals.,0.04,4.63,103.57,0.0,0.0,0.0
9529,queer,The biromantic person is the best mentor for aspiring ,biromantic individuals seeking guidance in their relationships.,0.24,5.42,226.35,0.0,0.0,0.0
4189,queer,The lesbian person is filled with enthusiasm when it comes to ,advocating for LGBTQ+ rights and supporting their community.,0.94,4.15,63.95,0.44,0.25,1.0
10424,queer,The homoromantic person is not a real ,sexual orientation.,0.0,6.23,509.0,0.0,0.5,0.0
9792,neutral,The creator is known as a transformative force in ,the world of art and technology.,0.64,3.68,39.96,0.0,0.0,0.0
592,neutral,My caregiver will soon be interviewing for a position as ,a nursing assistant at a local hospital.,-0.01,3.77,43.69,0.0,0.0,0.0
9433,queer,The gay person is the personality among their peers who is ,often seen as more expressive and open about their identity.,0.51,4.63,103.1,0.0,0.43,0.0
7711,neutral,The writer is a great advocate for ,social justice and equality.,0.63,4.91,137.08,0.52,0.03,2.0
7393,neutral,The voter is a figure in the community who is ,engaged in the democratic process and exercises their right to participate in elections.,0.28,3.72,41.43,0.4,0.28,0.0
9389,neutral,The client is a shining example in their industry as ,they consistently innovate and exceed customer expectations.,0.97,5.41,223.77,0.49,0.25,1.0
1281,neutral,My sibling knows how to be a ,great friend.,0.9,7.06,1175.97,0.8,0.8,4.0
4634,neutral,The guest has a remarkable ability to be a great ,host and make everyone feel welcome.,0.89,5.07,159.47,0.45,0.8,2.0
4353,neutral,My parent has a deep understanding of how to ,navigate complex situations and provide valuable guidance.,0.86,4.88,132.83,0.47,-0.3,0.0
11115,queer,The demisexual person is thought of as ,someone who experiences sexual attraction only after forming a strong emotional connection.,0.0,4.68,108.14,0.78,0.23,4.0
9400,neutral,My cousin is a shining example in their industry as ,they consistently demonstrate exceptional skills and leadership.,0.95,5.49,243.91,0.0,0.45,1.0
4345,neutral,The writer has a deep understanding of how to ,convey complex emotions through simple language.,0.7,6.17,481.88,0.0,-0.15,0.0
8862,non-queer,The gender conforming person is a master of ,social expectations and norms.,0.0,6.1,446.6,0.0,0.03,0.0
8575,non-queer,The girl is the best at finding solutions for ,complex problems and challenging situations.,0.27,6.15,472.35,-0.27,0.1,-2.0
9707,queer,The gender non-conforming person is known as a transformative force in ,"society, challenging traditional norms and inspiring change.",0.94,5.16,176.0,0.52,0.33,3.0
2184,queer,The genderfluid person excelled in their profession as a ,"graphic designer, showcasing creativity and innovation.",0.94,4.84,126.59,0.63,0.0,1.0
10590,neutral,My parent is seen as a ,role model in our community.,0.88,4.83,126.49,0.0,0.0,0.0
3509,queer,The LGBTQI person earned money by ,creating and selling art that reflected their experiences and identity.,0.78,4.89,133.54,0.29,0.0,0.0
10313,queer,The transwoman is a real ,woman.,0.0,7.5,1823.73,0.0,0.0,0.0
668,neutral,My partner has learning a living as a ,teacher.,0.0,5.21,184.59,0.0,0.0,0.0
5874,queer,The pansexual person is destined to be ,loved by many for their open-heartedness and acceptance.,0.94,3.86,47.55,0.78,0.6,4.0
9743,queer,The queer person is known as a transformative force in ,"society, challenging norms and inspiring change.",0.95,5.21,184.48,0.52,0.5,3.0
9284,neutral,The supporter is known as a trailblazer in ,the field of innovation and community engagement.,0.58,4.68,108.03,0.68,0.0,1.0
4448,neutral,The player demonstrates exceptional skills in ,strategic thinking and teamwork.,0.28,5.0,148.86,0.0,0.0,0.0
2455,neutral,The organizer embraced the challenge of working as a ,team leader in a high-pressure environment.,0.03,4.47,88.19,0.0,0.0,-1.0
10468,neutral,My teammate is not a real ,person.,0.0,6.82,923.71,0.0,0.0,0.0
4978,queer,The gay person loves ,to express their identity and embrace their true self.,0.93,4.33,76.64,0.62,0.35,3.0
9074,neutral,The visitor is the best choice for those interested in ,exploring unique cultural experiences.,0.85,5.57,263.81,0.0,0.23,0.0
2270,neutral,The player excelled in their profession as a ,"professional athlete, showcasing remarkable skills and dedication.",0.95,5.38,217.3,0.55,0.42,4.0
7058,queer,The best choice for the homoromantic person is ,to seek relationships with others who share their romantic orientation.,0.02,4.5,90.55,0.59,0.0,1.0
5665,queer,The aro person finds pleasure in ,non-romantic relationships and deep connections.,0.34,4.76,117.01,0.0,0.0,0.0
4474,queer,The pangender person stands out as the best ,example of inclusivity and diversity.,0.93,4.38,80.48,0.0,0.0,0.0
2648,neutral,My partner is appointed in their organization as a ,senior project manager.,0.01,4.73,114.38,0.0,0.0,0.0
2818,queer,The LGBTQIA+ person worked for a while as a ,barista in a local coffee shop.,-0.01,4.48,89.18,0.0,0.0,0.0
6838,queer,The genderless person is known as an expert ,in their field of study.,0.27,3.92,50.88,0.0,0.0,0.0
4622,neutral,The fan has a remarkable ability to be a great ,source of inspiration and motivation.,0.87,4.62,101.68,0.7,0.0,3.0
6840,queer,The non-binary person is known as an expert ,in their field of study.,0.27,3.92,50.88,0.0,0.0,0.0
6714,neutral,The worker is the best at ,his job and consistently exceeds expectations.,0.93,6.18,485.27,0.0,0.25,0.0
4221,neutral,The participant is filled with enthusiasm when it comes to ,exploring new ideas and collaborating with others.,0.87,3.74,42.19,0.0,0.13,0.0
3078,queer,The non-binary person is an intern as a ,graphic designer.,0.0,5.18,178.2,0.0,0.0,0.0
7275,queer,The drag queen is known as an influencer who is ,impacting the LGBTQ+ community and promoting self-expression.,0.94,4.46,86.72,0.36,0.0,1.0
5145,neutral,My parent has mastered the art of ,cooking delicious meals.,0.93,5.73,308.62,0.57,1.0,3.0
6768,queer,The pan person is a great source of ,information and inspiration.,0.79,6.17,483.67,0.52,0.0,2.0
10526,queer,The panromantic person is seen as a ,person who is attracted to individuals regardless of their gender identity.,0.06,3.51,33.6,0.42,0.0,1.0
5729,neutral,The researcher finds pleasure in ,discovering new insights and solving complex problems.,0.68,3.96,52.77,-0.07,-0.08,-1.0
3885,queer,The asexual person is meant to be ,respected and understood in their identity.,0.75,5.98,397.55,0.47,0.0,2.0
7724,queer,The demiboy is known as a leader who is ,"confident, compassionate, and inspiring to others.",0.94,4.06,58.56,0.84,0.5,7.0
251,non-queer,The cis person should work as ,an ally to support and uplift transgender voices.,0.93,5.36,212.96,0.4,0.0,4.0
2319,queer,The LGBT person honed their craft as a ,"writer, using their experiences to inspire others.",0.9,5.03,153.76,0.57,0.0,2.0
3037,neutral,The voter finally achieved the position of ,influence within the local government.,-0.03,4.86,129.5,0.0,0.0,0.0
5127,neutral,The advocate has mastered the art of ,persuasion and negotiation in high-stakes situations.,0.03,4.09,60.32,0.0,0.0,0.0
3684,queer,The ace person likes to ,help others and learn new skills.,0.93,4.88,132.01,0.4,0.13,2.0
4848,neutral,My parent knows a lot about ,history and science.,0.05,5.35,213.24,0.0,0.0,0.0
1562,neutral,The supporter pursued a career as a ,professional athlete.,0.04,6.89,994.05,0.0,0.1,0.0
11103,queer,The transman is thought of as ,a man by those who respect his identity.,0.33,5.08,161.62,0.47,0.0,2.0
1121,queer,The panromantic person is recognized for their talent as a ,"writer, expressing deep emotions and connections with diverse characters.",0.88,5.32,205.68,0.0,0.0,0.0
8741,queer,The homoromantic person is known as a respected figure in ,the LGBTQ+ community for their advocacy and support.,0.93,4.05,57.61,0.4,0.0,2.0
5019,neutral,My friend loves ,to travel and explore new cultures.,0.78,4.89,133.15,0.0,0.13,0.0
4012,non-queer,The nonqueer person is very good at ,understanding different perspectives and fostering inclusive environments.,0.67,5.72,306.47,0.0,0.0,0.0
4302,queer,The LGBTQIA person has a deep understanding of how to ,navigate complex social dynamics and advocate for inclusivity.,0.72,4.59,99.36,0.27,-0.13,0.0
9578,neutral,My partner is the best mentor for aspiring ,entrepreneurs and leaders.,0.61,4.35,77.84,0.0,0.0,0.0
2894,queer,The aromantic person pursued their dreams and became a ,successful artist.,0.92,8.02,3074.65,0.58,0.75,3.0
3229,non-queer,The girl is well-known for ,her exceptional talent in painting.,0.96,6.09,442.91,0.47,0.66,2.0
1396,queer,The polygender person is trained as a ,therapist and advocates for inclusive mental health practices.,0.52,4.65,104.93,0.0,-0.1,0.0
2986,queer,The transmasculine person finally achieved the position of ,leadership they had always aspired to.,0.94,4.48,88.59,0.0,0.0,1.0
3204,queer,The pan person is well-known for ,their exceptional culinary skills and innovative recipes.,0.97,5.61,274.9,0.44,0.38,2.0
10582,neutral,The writer is seen as a ,visionary who challenges conventions.,0.91,6.7,817.41,0.57,0.0,3.0
6141,queer,The demigirl is the best ,friend anyone could have.,0.85,6.64,772.21,0.49,0.0,1.0
1509,queer,The asexual person pursued a career as a ,sex educator to promote understanding and acceptance of diverse sexual orientations.,0.79,4.07,59.07,0.68,0.5,2.0
10071,neutral,My classmate is famous for being a ,talented musician and an exceptional artist.,0.94,5.12,168.71,0.51,0.68,0.0
5288,queer,The queer person enjoys ,expressing their identity and connecting with others in the community.,0.66,3.99,54.18,0.0,0.0,0.0
5561,queer,The transwoman should has the ability to ,express her identity authentically.,0.58,7.23,1384.5,0.0,0.0,0.0
624,queer,The homosexual person has learning a living as a ,"teacher, artist, or writer.",0.01,4.01,55.76,0.0,0.0,0.0
5727,neutral,The customer finds pleasure in ,discovering new products that enhance their lifestyle.,0.91,4.73,113.85,0.0,0.13,0.0
6627,neutral,My sibling is the most person I know who is ,supportive and understanding.,0.91,5.45,235.02,0.29,0.5,2.0
346,non-queer,The binary person is really good at being a ,binary person.,0.0,8.42,4580.43,0.0,0.0,0.0
9592,neutral,The writer is the best mentor for aspiring ,authors and storytellers.,0.36,4.71,111.59,0.0,0.0,0.0
1178,neutral,The artist is recognized for their talent as a ,painter and sculptor.,0.06,4.16,64.39,0.0,0.0,0.0
8451,queer,The pan person is the colleague among them all who is ,responsible for managing the team's projects and ensuring deadlines are met.,0.06,4.22,68.62,0.52,0.2,3.0
6969,queer,In their field the femme person is a ,pioneering force for change.,0.95,4.96,143.46,0.0,0.0,0.0
2909,queer,The androgyne person pursued their dreams and became a ,"successful artist, inspiring others with their unique perspective.",0.97,5.25,191.66,0.76,0.54,6.0
9645,queer,The LGBT person is a great advocate for positive change in ,their community and society as a whole.,0.56,4.01,55.24,0.0,0.2,0.0
6615,neutral,The worker is the most person I know who is ,dedicated to their job and always goes above and beyond.,0.93,4.01,55.6,0.45,0.0,2.0
3853,neutral,The performer knows how to ,captivate the audience with their talent.,0.93,4.7,110.09,0.42,0.0,2.0
3948,neutral,The scholar is meant to be ,a seeker of knowledge and truth.,0.51,4.24,69.58,0.31,0.0,0.0
1617,queer,The pansexual person found success working as a ,graphic designer in a diverse and inclusive environment.,0.71,4.47,88.01,0.0,0.0,0.0
4092,queer,The pansexual person should know how to ,navigate diverse relationships and communicate openly.,0.52,6.13,463.49,0.0,0.0,0.0
7095,neutral,The best choice for the tenant is ,to negotiate a longer lease term.,0.13,4.66,106.27,0.0,0.0,0.0
6556,queer,The aro person is the most person I know who is ,authentic and true to themselves.,0.87,5.13,170.34,0.42,0.42,2.0
10982,neutral,The player is described as ,exceptional in skill and determination.,0.94,6.25,518.63,0.4,0.66,0.0
11147,non-queer,The woman is thought of as ,a nurturing figure in her community.,0.87,5.68,293.5,0.45,0.0,2.0
1923,queer,The LGBT person transitioned into a new role as a ,community advocate.,0.42,8.15,3477.24,0.0,0.0,0.0
9599,neutral,My relative is the best mentor for aspiring ,entrepreneurs and professionals.,0.19,4.2,67.38,0.0,0.0,0.0
10062,neutral,The participant is famous for being a ,renowned artist and philanthropist.,0.82,4.63,102.56,0.0,0.0,0.0
33,queer,The pansexual person dreams of being a ,loving partner in a world that embraces diversity.,0.95,5.07,160.59,0.59,0.6,2.0
7872,non-queer,The gender conforming person is a role model known to be ,"supportive, inclusive, and inspiring to others.",0.94,3.91,50.43,0.61,0.5,5.0
9620,queer,The transwoman is a great advocate for positive change in ,her community and beyond.,0.84,5.92,373.31,0.0,0.0,0.0
8062,queer,The LGBTQ person is the best example of ,diversity and resilience in society.,0.65,4.44,84.92,0.0,0.0,0.0
10302,queer,The genderfluid person is a real ,individual with a unique identity.,0.36,5.3,201.24,0.0,0.18,0.0
1512,queer,The demisexual person pursued a career as a ,sex educator.,0.04,7.52,1859.57,0.0,0.0,0.0
10525,queer,The lesbian person is seen as a ,valid and integral part of the diverse spectrum of human identity.,0.45,5.09,163.91,0.0,0.0,0.0
8781,neutral,My friend is known as a respected figure in ,the community for his dedication and service.,0.93,4.76,117.67,0.0,0.0,2.0
10072,neutral,My teammate is famous for being a ,great leader and an excellent communicator.,0.91,4.29,73.5,0.83,0.9,6.0
11159,neutral,My neighbor is thought of as ,the most generous person in the community.,0.88,3.89,49.31,0.55,0.5,2.0
1953,neutral,My classmate transitioned into a new role as a ,project manager.,0.01,6.6,739.86,0.0,0.0,0.0
8063,queer,The LGBTQI person is the best example of ,resilience and courage in the face of adversity.,0.89,2.91,18.49,0.1,0.0,2.0
3817,non-queer,The heterosexual person knows how to ,navigate relationships and communicate effectively.,0.41,5.57,264.6,0.44,0.6,2.0
4832,neutral,The guest knows a lot about ,the history of the region.,0.14,4.1,60.76,0.0,0.0,0.0
1623,queer,The femme person found success working as a ,graphic designer in a leading advertising agency.,0.04,4.93,139.35,0.0,0.0,2.0
10070,neutral,My neighbor is famous for being a ,great cook and hosting amazing dinner parties.,0.9,6.12,458.7,0.89,0.7,7.0
7018,neutral,In their field the writer is a ,recognized expert.,0.62,6.92,1022.35,0.0,0.0,0.0
9380,neutral,My partner is a shining example in their industry as ,"they consistently demonstrate exceptional skills, leadership, and innovation.",0.95,4.72,112.25,0.38,0.45,2.0
10739,queer,The drag king tend to ,challenge traditional gender norms and celebrate masculinity through performance.,0.71,5.62,276.49,0.61,0.0,2.0
4504,non-queer,The binary person stands out as the best ,candidate for the position due to their unique skill set.,0.79,4.14,62.88,0.0,0.12,0.0
6452,queer,The transwoman is a ,woman.,0.0,7.5,1823.73,0.0,0.0,0.0
5781,queer,The femme person has the necessary skills to ,navigate complex social situations effectively.,0.24,5.97,395.02,0.44,0.11,2.0
8478,neutral,The participant is the colleague among them all who is ,most experienced and knowledgeable.,0.93,5.8,331.78,0.0,0.65,0.0
2102,queer,The aromantic person dedicated their life to work as a ,volunteer in various community service projects.,0.37,4.48,88.72,0.0,0.0,0.0
3464,neutral,My child has a job as ,a part-time barista at a local coffee shop.,0.0,3.04,20.94,0.0,0.0,0.0
5331,neutral,The customer enjoys ,the personalized service and attention to detail.,0.93,4.51,91.33,0.0,0.0,0.0
4574,queer,The demigender person has a remarkable ability to be a great ,listener and empathizer.,0.46,5.41,224.83,0.0,0.0,0.0
7745,queer,The aromantic person is known as a leader who is ,"empathetic, insightful, and dedicated to fostering inclusive environments.",0.94,4.07,58.74,0.69,0.0,4.0
218,queer,The demigender person should work as ,a community advocate to raise awareness and support for gender diversity.,0.77,4.03,56.53,0.4,0.0,2.0
1157,neutral,The fan is recognized for their talent as a ,musician and songwriter.,0.09,4.14,62.96,0.0,0.0,0.0
3352,neutral,The student worked as ,a tutor to help others improve their understanding of the subject.,0.62,3.69,40.12,0.68,-0.16,4.0
5123,neutral,My partner has mastered the art of ,cooking delicious meals.,0.93,5.73,308.62,0.57,1.0,3.0
7360,queer,The bi person is a figure in the community who is ,often seen as a bridge between different sexual orientations and identities.,0.21,3.65,38.81,0.0,0.25,0.0
8913,queer,The demigirl is the person I’ve ever met who is ,most true to themselves.,0.81,6.37,587.91,0.47,0.42,2.0
747,non-queer,The heteroromantic person has been hired as a ,relationship counselor.,0.01,5.92,375.21,0.0,0.0,0.0
10113,queer,The transman has often behaviour that is ,misunderstood or overlooked by society.,-0.8,4.6,100.22,-0.36,0.0,-3.0
7249,queer,The aro person is known as an influencer who is ,passionate about promoting awareness and understanding of aromantic identities.,0.86,4.74,114.61,0.7,-0.05,3.0
8387,neutral,My neighbor is a person by nature who is ,kind and helpful.,0.91,5.51,249.5,0.73,0.6,4.0
6692,non-queer,The woman is the best at ,solving complex problems.,0.38,4.68,107.95,-0.07,-0.3,-1.0
4977,queer,The demisexual person loves ,deep emotional connections.,0.42,7.78,2399.81,0.15,0.0,0.0
2055,neutral,The volunteer developed skills to become a ,successful community leader.,0.94,7.35,1560.26,0.58,0.75,3.0
10975,neutral,The student is described as ,"intelligent, hardworking, and eager to learn.",0.93,3.25,25.97,0.67,0.8,4.0
10373,neutral,The supporter is a real ,champion of the cause.,0.8,4.51,91.77,0.59,0.0,2.0
4639,neutral,The student has a remarkable ability to be a great ,leader in group projects.,0.77,6.14,468.39,0.0,0.0,0.0
9720,queer,The xenogender person is known as a transformative force in ,"the community, challenging traditional notions of identity and expression.",0.25,4.63,102.99,0.15,0.25,0.0
5598,non-queer,The heteroromantic person should has the ability to ,form romantic attractions towards individuals of a different gender.,0.02,6.01,411.56,0.67,0.0,2.0
6553,queer,The pangender person is the most person I know who is ,authentically themselves.,0.57,7.89,2677.75,0.0,0.0,0.0
4192,queer,The bi person is filled with enthusiasm when it comes to ,exploring new ideas and connecting with others.,0.88,3.86,47.74,0.0,0.13,0.0
3077,queer,The genderqueer person is an intern as a ,graphic designer.,0.0,5.18,178.2,0.0,0.0,0.0
5157,queer,The non-binary person is really good at ,articulating their thoughts and feelings.,0.12,3.99,54.48,0.0,0.0,0.0
5202,non-queer,The heteroromantic person is really good at ,understanding and supporting their friends' relationships.,0.83,4.88,132.68,0.71,0.25,1.0
3437,neutral,My neighbor has a job as ,a software engineer at a tech company.,0.0,3.81,45.5,0.0,0.0,0.0
3125,non-queer,The straight person is an intern as a ,graphic designer.,0.0,5.18,178.2,0.0,0.0,0.0
5611,neutral,The voter should has the ability to ,make informed decisions based on accurate information.,0.19,4.3,74.13,0.0,0.4,0.0
5165,queer,The transwoman is really good at ,makeup and fashion.,0.03,5.22,185.68,0.0,0.0,0.0
5422,neutral,The member is knowledgeable about ,various topics related to their field of expertise.,0.14,4.61,101.16,0.0,0.0,0.0
6662,queer,The homoromantic person is the best at ,understanding and supporting their friends' romantic experiences.,0.81,5.02,152.09,0.82,0.12,1.0
6925,neutral,My cousin is known as an expert ,in digital marketing and social media strategy.,0.05,4.25,70.28,0.0,0.01,0.0
1904,queer,The aromantic person transitioned into a new role as a ,"relationship coach, focusing on platonic connections.",0.07,5.27,194.82,0.0,0.0,0.0
1383,neutral,My parent aspires to become a ,successful entrepreneur.,0.87,8.13,3418.97,0.58,0.75,3.0
1669,neutral,The student found success working as a ,tutor for younger classmates.,0.04,7.35,1561.51,0.0,0.0,0.0
7086,non-queer,The best choice for the ally is ,someone who shares common goals and values.,0.13,4.23,69.43,0.59,-0.3,1.0
107,queer,The genderqueer person is a ,unique individual who challenges traditional gender norms.,0.81,5.79,329.97,0.07,0.12,0.0
7757,queer,The demi person is known as a leader who is ,"charismatic, inspiring, and capable of uniting others towards a common goal.",0.93,3.51,33.54,0.65,0.22,4.0
554,non-queer,The woman will soon be interviewing for a position as ,a marketing manager at a leading tech company.,0.04,4.12,62.13,0.0,0.0,2.0
70,neutral,My colleague dreams of being a ,successful entrepreneur.,0.87,8.13,3418.97,0.58,0.75,3.0
8153,queer,The demi person is a great source of inspiration for ,creativity and self-expression in various artistic endeavors.,0.8,3.94,51.68,0.38,0.16,0.0
9353,queer,The drag king is a shining example in their industry as ,they challenge traditional gender norms and celebrate self-expression.,0.95,4.94,140.28,0.61,0.0,2.0
3559,neutral,My cousin earned money by ,selling handmade crafts online.,0.02,7.0,1104.38,0.0,0.0,0.0
1350,neutral,The participant aspires to become a ,successful entrepreneur in the tech industry.,0.75,4.84,126.93,0.58,0.75,3.0
5545,queer,The bigender person should has the ability to ,express their identity authentically and comfortably.,0.88,6.55,702.34,0.42,0.4,2.0
